ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;1;112716;50001;50;ACTIVO;HOTEL VILLAS DE SAN SEBASTIAN;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;8;16;32
2024;2;112725;50226;50;ACTIVO;EDILBERTO  CASTRO LONDOÑO;META;CUMARAL;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;3;9
2024;1;112727;50573;50;ACTIVO;JOSE MANUEL NIETO FANDIÑO;META;PUERTO LOPEZ;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;16
2024;2;112807;50313;50;ACTIVO;ESTADERO RESTAURANTE ALCARAVAN;META;GRANADA (META);VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;12;20
2024;4;112838;50006;50;ACTIVO;ELIZABETH  MEDINA PACHECO;META;ACACIAS;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;4;112946;50001;50;ACTIVO;LIZETH GERALDINE VACCA URBINA;META;VILLAVICENCIO;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;1;112947;50001;50;ACTIVO;RENE AUGUSTO SALAMANCA GARCIA;META;VILLAVICENCIO;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;3;112948;50001;50;ACTIVO;HOTEL LAS CAYENAS OCOA;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;15;15
2024;1;112949;50330;50;ACTIVO;GO TO TRAVELCOL;META;MESETAS;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;1;0;0
2024;2;112952;50006;50;ACTIVO;HOTEL LA PRIMAVERA;META;ACACIAS;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;10;15
2024;1;113476;50001;50;ACTIVO;HOTEL OBELISCO LLANERO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;24;24
2024;3;113477;50400;50;ACTIVO;FINCA ECOTURISTICA LA ROCA;META;LEJANIAS;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;2;10
2024;1;113478;50330;50;ACTIVO;GLAMPING BRISAS DEL GUEJAR;META;MESETAS;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;3;21
2024;2;113677;50006;50;ACTIVO;BARAKA BENDICION DE DIOS;META;ACACIAS;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);4;6;6
2024;1;113694;50606;50;ACTIVO;CESAR ALFONSO PEREZ LOZANO;META;RESTREPO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;1;12
2024;3;113696;50006;50;ACTIVO;TRAVELS WA;META;ACACIAS;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;2;113706;50350;50;ACTIVO;GUAYA ECOTOURS;META;LA MACARENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;2;113724;50006;50;ACTIVO;VILLA TERESITA CAMPESTRE;META;ACACIAS;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;4;5
2024;3;113726;50606;50;ACTIVO;CASAKARLY;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;5;10
2024;1;113730;50318;50;ACTIVO;HOTEL GUAMAL PLAZA;META;GUAMAL;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;17;28
2024;3;113732;50001;50;ACTIVO;LEIDY DANIELA MONTOYA GOMEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;20
2024;2;113884;50006;50;ACTIVO;HOTEL NAYARITH;META;ACACIAS;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;12;24
2024;1;114150;50573;50;ACTIVO;PTJ S.A.S;META;PUERTO LOPEZ;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;9
2024;3;114151;50001;50;ACTIVO;HOTEL CAMPESTRE VILLA MARY;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;1;5;13
2024;3;114152;50350;50;ACTIVO;ECOTOURS VALLE VERDE;META;LA MACARENA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;1;114213;50573;50;ACTIVO;HOTEL PARAISO PUERTO LOPEZ;META;PUERTO LOPEZ;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;18;20
2024;4;114245;50001;50;ACTIVO;MIRADOR EL PARAISO GLAMPING;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);2;7;16
2024;3;114424;50006;50;ACTIVO;YAJAWA GLAMPING;META;ACACIAS;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;2;8
2024;4;114564;50330;50;ACTIVO;AVENTURA BIODIVERSA MESETAS;META;MESETAS;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;3;114636;50350;50;ACTIVO;EDISON  BAUTISTA VEGA;META;LA MACARENA;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;3;114637;50350;50;ACTIVO;LILIA MARCELA ALFONSO PRADA;META;LA MACARENA;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;3;114639;50683;50;ACTIVO;SAN JUAN ADVENTURES;META;SAN JUAN DE ARAMA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
